,category,pef_over_pred_100
0,before,81.7
2,before,106.3
3,before,111.3
5,before,101.8
6,before,102.3
7,before,104.5
8,before,103.4
9,before,99.3
10,before,103.6
11,before,110.2
12,before,108.4
13,before,103.2
14,before,108.1
16,before,108.1
17,before,102.7
18,before,101.4
19,before,109.7
20,before,103.4
21,before,100.9
22,before,107.2
23,before,105.0
24,before,108.1
25,before,107.9
27,before,114.7
28,before,110.2
29,before,105.2
30,before,110.2
31,before,116.3
32,before,112.0
33,before,111.5
34,before,113.1
35,before,112.2
36,before,114.4
37,before,115.6
38,before,114.9
39,before,112.4
40,before,110.6
41,before,112.2
42,before,116.0
43,before,126.4
44,before,115.6
45,before,107.7
46,before,111.3
47,before,119.6
48,before,109.7
49,before,123.3
50,before,114.9
51,before,112.2
52,before,109.5
53,before,113.8
54,before,117.6
55,before,112.0
56,before,118.7
57,before,115.6
58,before,116.7
60,before,112.4
61,before,110.6
62,before,123.3
63,before,110.8
64,before,118.3
65,before,113.8
66,before,117.4
67,before,119.6
68,before,110.6
69,before,109.9
70,before,118.7
71,before,114.4
72,before,119.9
73,before,117.2
75,before,118.5
76,before,114.4
77,before,112.4
78,before,111.1
79,before,119.4
80,before,116.0
81,before,118.7
82,before,111.7
83,before,113.3
84,before,113.5
85,before,119.4
86,before,111.3
87,before,123.0
88,before,117.2
89,before,116.7
90,before,121.7
91,before,118.7
92,before,109.3
93,before,114.2
94,before,121.0
95,before,118.3
96,before,113.5
97,before,119.9
98,before,119.0
99,before,116.0
100,before,116.7
101,before,106.5
102,before,116.3
103,before,118.7
104,before,120.1
106,before,123.0
107,before,115.6
108,before,125.1
109,after,111.5
110,after,111.5
111,after,119.0
112,after,112.4
113,after,109.3
114,after,110.8
115,after,117.8
116,after,115.1
117,after,106.8
118,after,118.7
119,after,113.5
120,after,109.9
121,after,116.7
122,after,117.4
123,after,109.3
124,after,112.0
125,after,115.6
126,after,113.5
127,before,113.3
128,before,116.5
129,before,114.7
130,before,118.3
131,before,114.0
132,before,115.6
133,before,114.2
134,before,116.0
135,before,105.6
136,before,115.1
137,before,119.0
138,before,123.7
139,before,119.6
140,before,114.0
141,before,112.6
142,before,115.8
143,before,111.3
144,before,117.8
145,before,112.4
146,before,110.2
147,before,112.4
148,before,112.6
149,before,117.8
150,before,112.2
151,before,124.6
152,before,117.8
153,before,114.2
154,before,114.0
155,after,110.2
156,after,114.9
157,after,117.8
158,after,116.7
159,after,111.7
160,after,113.3
161,after,115.6
162,after,112.0
163,after,113.5
164,after,122.1
165,after,112.6
166,after,118.5
167,after,117.4
168,after,115.6
169,after,114.4
170,after,118.3
171,after,111.1
172,after,123.0
173,after,123.9
174,after,119.0
175,after,115.3
176,after,117.8
177,after,121.2
178,after,111.5
179,after,116.3
180,after,116.7
181,after,115.3
182,after,121.9
183,after,120.5
184,after,114.9
185,after,115.8
186,after,123.0
187,after,117.8
188,after,124.2
189,after,116.0
190,after,116.0
191,after,119.4
192,after,123.7
193,after,123.7
194,after,117.4
195,after,121.9
196,after,120.3
197,after,115.3
198,after,119.6
199,after,119.2
200,after,124.2
201,after,123.9
202,after,127.3
203,after,128.4
204,after,125.5
205,after,123.7
206,after,121.2
207,after,127.1
208,after,127.8
209,after,126.9
210,after,126.4
211,after,123.7
212,after,133.6
213,after,125.3
214,after,124.4
215,after,125.5
216,after,129.6
217,after,122.6
218,after,132.5
219,after,121.4
220,after,130.7
221,after,126.0
222,after,128.7
223,after,120.3
224,after,123.9
225,after,120.5
226,after,123.7
227,after,120.5
228,after,123.7
229,after,126.2
230,after,125.7
231,after,126.6
232,after,129.1
233,after,126.4
234,after,120.1
235,after,128.4
236,after,131.4
237,after,126.2
238,after,123.5
239,after,125.1
240,after,122.1
241,after,130.0
242,after,123.0
243,after,119.2
244,after,127.1
245,after,127.5
246,after,133.6
247,after,126.0
248,after,127.8
249,after,123.9
250,after,122.8
251,after,126.0
252,after,123.7
253,after,130.7
254,after,128.0
255,after,123.0
256,after,127.5
257,after,123.0
258,after,126.2
259,after,125.5
260,after,122.3
261,after,123.9
262,after,129.3
263,after,123.7
264,after,128.9
265,after,117.6
266,after,125.7
267,after,121.2
268,after,126.2
269,after,126.2
270,after,123.3
271,after,124.2
272,after,128.4
273,after,122.1
274,after,123.3
275,after,128.9
276,after,124.8
277,after,125.1
278,after,133.6
279,after,131.4
280,after,120.1
281,after,117.4
282,after,120.1
283,after,129.3
284,after,120.8
