date,wrote_notes
Apr 2 2019,1
Apr 7 2019,0
Apr 8 2019,1
Apr 9 2019,1
Apr 9 2019,1
Apr 9 2019,1
Apr 10 2019,1
Apr 10 2019,1
Apr 11 2019,1
Apr 11 2019,1
Apr 12 2019,1
Apr 13 2019,1
Apr 13 2019,1
Apr 14 2019,1
Apr 14 2019,1
Apr 14 2019,0
Apr 15 2019,1
Apr 15 2019,1
Apr 16 2019,1
Apr 16 2019,1
Apr 16 2019,1
Apr 17 2019,1
Apr 17 2019,1
Apr 18 2019,1
Apr 18 2019,1
Apr 19 2019,1
Apr 19 2019,1
Apr 19 2019,1
Apr 20 2019,1
Apr 21 2019,1
Apr 21 2019,1
Apr 21 2019,1
Apr 22 2019,1
Apr 22 2019,1
Apr 24 2019,1
Apr 25 2019,1
Apr 25 2019,1
Apr 26 2019,1
Apr 27 2019,1
Apr 28 2019,1
Apr 29 2019,1
Apr 29 2019,1
Apr 29 2019,1
Apr 30 2019,1
Apr 30 2019,1
May 1 2019,0
"May 2, 2019",0
"May 2, 2019",0
"May 3, 2019",1
"May 4, 2019",1
"May 4, 2019",0
"May 4, 2019",1
"May 5, 2019",1
"May 5, 2019",1
"May 6, 2019",1
"May 6, 2019",1
"May 7, 2019",0
"May 7, 2019",1
"May 8, 2019",0
"May 8, 2019",1
"May 8, 2019",1
"May 9, 2019",0
"May 9, 2019",1
"May 10, 2019",0
"May 10, 2019",1
"May 12, 2019",0
"May 12, 2019",0
"May 12, 2019",1
"May 13, 2019",1
"May 13, 2019",0
"May 14, 2019",1
"May 15, 2019",0
"May 15, 2019",1
"May 16, 2019",1
"May 16, 2019",1
"May 16, 2019",1
"May 17, 2019",0
"May 17, 2019",0
"May 18, 2019",1
"May 19, 2019",0
"May 19, 2019",1
"May 19, 2019",1
"May 20, 2019",0
"May 20, 2019",1
"May 21, 2019",0
"May 21, 2019",1
"May 22, 2019",0
"May 22, 2019",1
"May 23, 2019",1
"May 23, 2019",1
"May 24, 2019",0
"May 24, 2019",1
"May 25, 2019",1
"May 25, 2019",0
"May 26, 2019",0
"May 27, 2019",1
"May 27, 2019",0
"May 28, 2019",0
"May 28, 2019",1
"May 29, 2019",0
"May 29, 2019",1
"May 30, 2019",0
"May 30, 2019",0
"May 31, 2019",0
"June 1, 2019",0
"June 1, 2019",0
"June 1, 2019",1
"June 2, 2019",0
"June 2, 2019",0
"June 3, 2019",0
"June 3, 2019",0
"June 3, 2019",0
"June 4, 2019",0
"June 4, 2019",0
"June 5, 2019",0
"June 5, 2019",0
"June 5, 2019",0
"June 6, 2019",0
"June 6, 2019",0
"June 6, 2019",0
"June 7, 2019",0
"June 7, 2019",0
"June 7, 2019",0
"June 8, 2019",0
"June 8, 2019",0
"June 9, 2019",0
"June 9, 2019",0
"June 10, 2019",0
"June 10, 2019",0
"June 11, 2019",0
"June 11, 2019",0
"June 12, 2019",0
"June 12, 2019",0
"June 13, 2019",0
"June 13, 2019",0
"June 14, 2019",0
"June 14, 2019",0
"June 15, 2019",0
"June 15, 2019",0
"June 16, 2019",0
"June 16, 2019",0
"June 17, 2019",0
"June 17, 2019",0
"June 18, 2019",0
"June 18, 2019",0
"June 19, 2019",0
"June 20, 2019",0
"June 20, 2019",0
"June 21, 2019",0
"June 23, 2019",0
"June 24, 2019",0
"June 24, 2019",1
"June 25, 2019",0
"June 25, 2019",1
"June 25, 2019",0
"June 26, 2019",0
"June 26, 2019",1
"June 27, 2019",0
"June 27, 2019",0
"June 28, 2019",0
"June 28, 2019",0
"June 29, 2019",1
"June 30, 2019",0
"June 30, 2019",1
"July 1, 2019",0
"July 2, 2019",0
"July 2, 2019",0
"July 3, 2019",0
"July 3, 2019",0
"July 4, 2019",0
"July 4, 2019",1
"July 5, 2019",0
"July 5, 2019",1
"July 6, 2019",1
"July 6, 2019",1
"July 7, 2019",0
"July 7, 2019",0
"July 8, 2019",0
"July 8, 2019",0
"July 9, 2019",0
"July 9, 2019",1
"July 10, 2019",1
"July 10, 2019",1
"July 10, 2019",1
"July 11, 2019",0
"July 11, 2019",0
"July 12, 2019",0
"July 12, 2019",0
"July 13, 2019",0
"July 14, 2019",0
"July 14, 2019",0
"July 15, 2019",0
"July 15, 2019",0
"July 16, 2019",0
"July 16, 2019",0
"July 17, 2019",0
"July 18, 2019",0
"July 18, 2019",0
"July 19, 2019",0
"July 19, 2019",0
"July 20, 2019",0
"July 20, 2019",0
"July 21, 2019",0
"July 21, 2019",0
"July 22, 2019",0
"July 23, 2019",0
"July 24, 2019",0
"July 25, 2019",0
"July 26, 2019",0
"July 27, 2019",0
"July 27, 2019",0
"July 28, 2019",0
"July 28, 2019",1
"July 29, 2019",0
"July 30, 2019",0
"July 30, 2019",0
"July 31, 2019",0
"August 1, 2019",0
"August 1, 2019",0
"August 2, 2019",0
"August 4, 2019",0
"August 4, 2019",0
"August 5, 2019",0
"August 6, 2019",0
"August 6, 2019",0
"August 7, 2019",0
"August 7, 2019",0
"August 8, 2019",0
"August 9, 2019",0
"August 10, 2019",0
"August 10, 2019",0
"August 12, 2019",0
"August 12, 2019",0
"August 13, 2019",0
"August 13, 2019",0
"August 14, 2019",0
"August 15, 2019",0
"August 15, 2019",0
"August 17, 2019",0
"August 17, 2019",0
"August 17, 2019",0
"August 18, 2019",0
"August 19, 2019",0
"August 20, 2019",0
"August 20, 2019",0
"August 21, 2019",0
"August 21, 2019",0
"August 22, 2019",0
"August 23, 2019",0
"August 23, 2019",0
"August 24, 2019",0
"August 24, 2019",0
"August 25, 2019",0
"August 26, 2019",0
"August 26, 2019",0
"August 27, 2019",0
"August 27, 2019",0
"August 29, 2019",0
"August 31, 2019",0
"August 31, 2019",0
"September 1, 2019",0
"September 2, 2019",0
"September 3, 2019",0
